GAME_CLIENT_KEY,CLIENT_ID,GAME_ID,GAME_NAME,GAME_TYPE,TENANT_NAME,SOURCE_DATABASE,STATUS
cd9ff373ce9db3217baa5bc97369fb3f,7days_performance,seven_days_alien_dash,Alien Dash,instant_win,7 Days Performance,low6_azureuksouth,archived
5bf9b3a100aa0a8b9c4fc2322c0008f7,7days_performance,seven_days_alien_dash,Alien Dash,instant_win,UKCC,low6_azureuksouth,archived
d02a16ecbb09c90049c7e37c69922171,7days_performance,seven_days_coin_drop,Coin Drop,instant_win,7 Days Performance,low6_azureuksouth,archived
2e0d89d6fa61c29f18ba9ea401e7ac9d,7days_performance,seven_days_coin_drop,Coin Drop,instant_win,UKCC,low6_azureuksouth,live
4f8b0bd84941a4fba983c197cd83f769,7days_performance,seven_days_coin_drop_football,Coin Drop Football,instant_win,7 Days Performance,low6_azureuksouth,archived
bfbe18ca68614744ba7e5bfca3561933,7days_performance,seven_days_coin_drop_football,Coin Drop Football,instant_win,UKCC,low6_azureuksouth,archived
5267236b9481e9db91a6f17bb3d009dc,7days_performance,seven_days_drop_zone,Drop Zone,instant_win,7 Days Performance,low6_azureuksouth,live
c0867f472ebf04372a83b690365b900b,7days_performance,seven_days_drop_zone,Drop Zone,instant_win,UKCC,low6_azureuksouth,live
a50263cd8d4410f797b91ddf5374a414,7days_performance,seven_days_pirate_quest,Pirate Quest,instant_win,7 Days Performance,low6_azureuksouth,live
fc62a061c58805583d956aa87a5af740,7days_performance,seven_days_pirate_quest,Pirate Quest,instant_win,UKCC,low6_azureuksouth,archived
f73b6a996d0a30de485cf913403f0a04,action,action_bingo,Action Network Golf Squares,bingo,,low6_us,archived
a17867fc26032f1e8ec6d9a2fe83664c,action,action_picks,Better Collective NBA Finals Pickem,pickem,,low6_us,archived
b1045a6d03a7d0cbb06d5bcd067d834f,atp,atp_picks,ATP Rankings Predictor,pickem,,low6_us,archived
5e8751658c7357b8b454885ef446fe72,ballislife,ballislife_bracket,Ballislife Bracket,bracket,,low6_us,archived
f001ad95d79bf2eabae27e908f2cdd64,bbc,bbc_squares,BBC Squares,bingo,,low6,archived
d88f95b8478ad7586aa3ec54eeb96842,bet365,bet365_overunder,Bet365 Over/Under,pickem,,low6_azureeastus2,live
695b8bbea7887664ed766e772b6f3e22,bet365,bet365_uf,Bet365 Ultimate Fan,fantasy,,low6_azureeastus2,live
94e1190e2895714248fb879f6d2f5404,bet99,bet99,Bet99 Free2Play,pickem,,low6_us,archived
8141d6a3ad1e29f6658313aa600306c1,bet99,bet99_bracket,Bet99 Bracket,bracket,,low6_azureeastus2,archived
51f37cf70ceddd8aa196df4262041606,bet99,bet99_picks,Bet99 Picks,pickem,,low6_azureeastus2,live
cf7e0272e0e372a0071979b90b0ecd59,betfan,betfan_picks,Betfan Picks,pickem,,low6,archived
620face17d6838683fd83b7406d47480,betrivers,betrivers,BetRivers Free2Play,pickem,,low6_us,archived
e648eaab99640aab5f9a1e91840fa08a,betrivers,betrivers_bracket,BetRivers Bracket Challenge,bracket,,low6_us,archived
